country,date,confirmed,recovered,deaths,first_date,population,density,median_age,urban_population,confirmed_change,deaths_change,recovered_change,days_since_first_100_cases
Albania,3/11/20,12,0,1,3/23/20,2877797,105,36,0.63,2,1,0,-12
Albania,3/15/20,42,0,1,3/23/20,2877797,105,36,0.63,4,0,0,-8
Bahamas,3/17/20,1,0,0,,393244,39,32,0.86,0,0,0,
Botswana,4/4/20,4,0,1,,2351627,4,24,0.73,0,0,0,
Burkina Faso,3/17/20,15,0,0,3/24/20,20903273,76,18,0.31,0,0,0,-7
Cabo Verde,4/8/20,7,1,1,,555987,138,28,0.68,0,0,0,
El Salvador,4/6/20,69,5,4,4/9/20,6486205,313,28,0.73,7,1,3,-3
Equatorial Guinea,3/19/20,6,0,0,,1402985,50,22,0.73,2,0,0,
Equatorial Guinea,3/27/20,12,0,0,,1402985,50,22,0.73,0,0,0,
Kosovo,3/19/20,2,0,0,3/31/20,1831000,,,,0,0,0,-12
Kosovo,4/9/20,184,30,5,3/31/20,1831000,,,,0,0,0,9
Kyrgyzstan,3/25/20,44,0,0,3/31/20,6524195,34,26,0.36,2,0,0,-6
Kyrgyzstan,4/2/20,116,5,0,3/31/20,6524195,34,26,0.36,5,0,2,2
Liberia,4/7/20,14,3,3,,5057681,53,19,0.53,0,0,0,
Mali,3/29/20,18,0,1,4/12/20,20250833,17,16,0.44,0,1,0,-14
Martinique,3/14/20,9,0,0,,375265,354,47,0.92,6,0,0,
Panama,3/18/20,86,0,1,3/19/20,4314767,58,30,0.68,17,0,0,-1
Panama,3/31/20,1181,9,30,3/19/20,4314767,58,30,0.68,192,6,5,12
Panama,4/13/20,3400,29,87,3/19/20,4314767,58,30,0.68,166,8,6,25
Seychelles,3/24/20,7,0,0,,98347,214,34,0.56,0,0,0,
Somalia,3/16/20,1,0,0,,15893222,25,17,0.47,1,0,0,
Suriname,3/23/20,5,0,0,,586632,4,29,0.65,0,0,0,
Suriname,3/28/20,8,0,0,,586632,4,29,0.65,0,0,0,
Suriname,4/9/20,10,4,1,,586632,4,29,0.65,0,0,1,
Timor-Leste,4/5/20,1,0,0,,1318445,89,21,0.33,0,0,0,
Zambia,4/3/20,39,2,1,,18383955,25,18,0.45,0,0,2,
Zambia,4/4/20,39,2,1,,18383955,25,18,0.45,0,0,0,
Bolivia,3/20/20,15,0,0,3/31/20,11673021,11,26,0.69,3,0,0,-11
Bolivia,3/29/20,81,0,1,3/31/20,11673021,11,26,0.69,7,1,0,-2
Central African Republic,4/9/20,8,0,0,,4829767,8,18,0.43,0,0,0,
Central African Republic,4/11/20,8,0,0,,4829767,8,18,0.43,0,0,0,
Central African Republic,4/12/20,8,0,0,,4829767,8,18,0.43,0,0,0,
Ethiopia,4/4/20,38,4,0,,114963588,115,19,0.21,3,0,0,
French Guiana,3/16/20,11,0,0,,298682,4,25,0.87,6,0,0,
Gabon,4/9/20,44,1,1,,2225734,9,23,0.87,10,0,0,
Ghana,3/26/20,132,1,4,3/26/20,31072940,137,22,0.57,39,0,1,0
Grenada,3/31/20,9,0,0,,112523,331,32,0.35,0,0,0,
Kenya,3/28/20,38,1,1,4/2/20,53771296,94,20,0.28,7,0,0,-5
Laos,3/31/20,9,0,0,,7275560,32,24,0.36,1,0,0,
Malta,3/24/20,110,2,0,3/23/20,441543,1380,43,0.93,3,0,0,1
Mauritania,3/23/20,2,0,0,,4649658,5,20,0.57,0,0,0,
Namibia,3/29/20,11,2,0,,2540905,3,22,0.55,3,0,0,
Namibia,4/6/20,16,3,0,,2540905,3,22,0.55,0,0,0,
Papua New Guinea,3/31/20,1,0,0,,8947024,20,22,0.13,0,0,0,
Papua New Guinea,4/10/20,2,0,0,,8947024,20,22,0.13,0,0,0,
Saint Lucia,3/25/20,3,0,0,,183627,301,34,0.19,0,0,0,
Sudan,3/24/20,3,0,1,,43849260,25,20,0.35,1,0,0,
Sudan,4/2/20,8,2,2,,43849260,25,20,0.35,1,0,0,
Sudan,4/13/20,29,4,4,,43849260,25,20,0.35,10,2,2,
Tanzania,3/16/20,1,0,0,,59734218,67,18,0.37,1,0,0,
Tanzania,4/12/20,32,5,3,,59734218,67,18,0.37,0,0,0,
Turkey,3/19/20,192,0,3,3/19/20,84339067,110,32,0.76,94,2,0,0
Turkey,4/8/20,38226,1846,812,3/19/20,84339067,110,32,0.76,4117,87,264,20
Venezuela,3/25/20,91,15,0,3/26/20,28435940,32,30,,7,0,0,-1
Venezuela,3/28/20,119,39,2,3/26/20,28435940,32,30,,12,1,8,2
Western Sahara,4/8/20,4,0,0,,597339,2,28,0.87,0,0,0,
Albania,3/9/20,2,0,0,3/23/20,2877797,105,36,0.63,2,0,0,-14
Albania,3/26/20,174,17,6,3/23/20,2877797,105,36,0.63,28,1,0,3
Angola,3/28/20,5,0,0,,32866272,26,17,0.67,1,0,0,
Angola,4/2/20,8,1,2,,32866272,26,17,0.67,0,0,0,
Antigua and Barbuda,3/22/20,1,0,0,,97929,223,34,0.26,0,0,0,
Antigua and Barbuda,4/8/20,19,0,2,,97929,223,34,0.26,0,1,0,
Bahamas,4/12/20,46,5,8,,393244,39,32,0.86,0,0,0,
Benin,4/4/20,16,2,0,,12123200,108,19,0.48,0,0,0,
Benin,4/9/20,26,5,1,,12123200,108,19,0.48,0,0,0,
Burundi,3/31/20,2,0,0,,11890784,463,17,0.14,2,0,0,
Burundi,4/4/20,3,0,0,,11890784,463,17,0.14,0,0,0,
Burundi,4/12/20,5,0,0,,11890784,463,17,0.14,0,0,0,
Equatorial Guinea,4/14/20,41,4,0,,1402985,50,22,0.73,20,0,0,
Eritrea,4/3/20,22,0,0,,3546421,35,19,0.63,0,0,0,
Guatemala,4/14/20,167,19,5,4/10/20,17915568,167,23,0.52,11,0,0,4
Guyana,3/25/20,20,0,1,,786552,4,27,0.27,0,0,0,
Guyana,4/13/20,45,8,6,,786552,4,27,0.27,0,0,0,
Seychelles,3/22/20,7,0,0,,98347,214,34,0.56,0,0,0,
Somalia,3/31/20,5,1,0,,15893222,25,17,0.47,2,0,1,
Suriname,3/31/20,9,0,0,,586632,4,29,0.65,1,0,0,
Syria,3/25/20,5,0,0,,17500658,95,26,0.6,4,0,0,
Syria,3/26/20,5,0,0,,17500658,95,26,0.6,0,0,0,
Syria,4/3/20,16,0,2,,17500658,95,26,0.6,0,0,0,
Uzbekistan,3/16/20,6,0,0,3/28/20,33469203,79,28,0.5,5,0,0,-12
Djibouti,3/21/20,1,0,0,4/8/20,988000,43,27,0.79,0,0,0,-18
Djibouti,3/28/20,14,0,0,4/8/20,988000,43,27,0.79,2,0,0,-11
Ghana,3/20/20,16,0,0,3/26/20,31072940,137,22,0.57,5,0,0,-6
Ghana,3/22/20,23,0,1,3/26/20,31072940,137,22,0.57,4,0,0,-4
Grenada,4/2/20,10,0,0,,112523,331,32,0.35,1,0,0,
Grenada,4/9/20,12,0,0,,112523,331,32,0.35,0,0,0,
Guinea,3/20/20,1,0,0,4/4/20,13132795,53,18,0.39,0,0,0,-15
Holy See,3/22/20,1,0,0,,801,2003,,,0,0,0,
Holy See,3/28/20,6,0,0,,801,2003,,,2,0,0,
Kazakhstan,3/29/20,284,20,3,3/26/20,18776707,7,31,0.58,56,0,4,3
Kenya,3/26/20,31,1,1,4/2/20,53771296,94,20,0.28,3,1,0,-7
Laos,4/4/20,10,0,0,,7275560,32,24,0.36,0,0,0,
Maldives,3/14/20,10,0,0,,540544,1802,30,0.35,1,0,0,
Montenegro,3/28/20,84,0,1,3/31/20,628066,47,39,0.68,2,0,0,-3
Mozambique,3/28/20,8,0,0,,31255435,40,18,0.38,1,0,0,
Namibia,3/22/20,3,0,0,,2540905,3,22,0.55,0,0,0,
Nicaragua,3/19/20,1,0,0,,6624554,55,26,0.57,1,0,0,
Saint Lucia,4/8/20,14,1,0,,183627,301,34,0.19,0,0,0,
Sudan,3/15/20,1,0,1,,43849260,25,20,0.35,0,0,0,
Uganda,4/1/20,44,0,0,,45741007,229,17,0.26,0,0,0,
Venezuela,4/13/20,189,110,9,3/26/20,28435940,32,30,,8,0,17,18
Angola,3/20/20,1,0,0,,32866272,26,17,0.67,1,0,0,
Angola,4/12/20,19,4,2,,32866272,26,17,0.67,0,0,0,
Burkina Faso,3/12/20,2,0,0,3/24/20,20903273,76,18,0.31,0,0,0,-12
Chad,3/29/20,3,0,0,,16425864,13,17,0.23,0,0,0,
Cuba,3/15/20,4,0,0,3/28/20,11326616,106,42,0.78,0,0,0,-13
Cyprus,4/12/20,633,65,11,3/23/20,1207359,131,37,0.67,17,0,4,20
Eritrea,3/30/20,12,0,0,,3546421,35,19,0.63,0,0,0,
Eritrea,4/13/20,34,0,0,,3546421,35,19,0.63,0,0,0,
Fiji,3/19/20,1,0,0,,896445,49,28,0.59,1,0,0,
Guadeloupe,3/14/20,1,0,0,,400124,237,44,,0,0,0,
Guatemala,4/7/20,77,17,3,4/10/20,17915568,167,23,0.52,7,0,2,-3
Guyana,3/17/20,7,0,1,,786552,4,27,0.27,3,0,0,
Guyana,4/9/20,37,8,6,,786552,4,27,0.27,0,0,0,
Liberia,3/25/20,3,0,0,,5057681,53,19,0.53,0,0,0,
Liberia,3/30/20,3,0,0,,5057681,53,19,0.53,0,0,0,
Madagascar,3/20/20,3,0,0,4/11/20,27691018,48,20,0.39,3,0,0,-22
Mali,3/31/20,28,0,2,4/12/20,20250833,17,16,0.44,3,0,0,-12
Martinique,3/16/20,15,0,1,,375265,354,47,0.92,6,1,0,
Martinique,3/20/20,32,0,1,,375265,354,47,0.92,9,0,0,
Palestine,3/8/20,22,0,0,,5101414,847,21,0.8,0,0,0,
Panama,3/30/20,989,4,24,3/19/20,4314767,58,30,0.68,88,7,0,11
Rwanda,4/3/20,89,0,0,4/4/20,12952218,525,20,0.18,5,0,0,-1
Somalia,4/1/20,5,1,0,,15893222,25,17,0.47,0,0,0,
Bolivia,4/14/20,354,6,28,3/31/20,11673021,11,26,0.69,24,1,4,14
Brunei,3/13/20,37,0,0,3/24/20,437479,83,32,0.8,26,0,0,-11
Brunei,4/9/20,135,92,1,3/24/20,437479,83,32,0.8,0,0,1,16
Bulgaria,3/15/20,51,0,2,3/20/20,6948445,64,45,0.76,10,0,0,-5
Central African Republic,4/5/20,8,0,0,,4829767,8,18,0.43,0,0,0,
Djibouti,3/18/20,1,0,0,4/8/20,988000,43,27,0.79,1,0,0,-21
Dominica,4/1/20,12,0,0,,71986,96,,0.74,0,0,0,
Dominica,4/7/20,15,1,0,,71986,96,,0.74,0,0,0,
Dominica,4/8/20,15,1,0,,71986,96,,0.74,0,0,0,
Eswatini,4/1/20,9,0,0,,1160164,67,21,0.3,0,0,0,
Ghana,3/25/20,93,0,4,3/26/20,31072940,137,22,0.57,40,2,0,-1
Gibraltar,3/6/20,1,0,0,,33691,3369,,,0,0,0,
Holy See,3/21/20,1,0,0,,801,2003,,,0,0,0,
Kazakhstan,3/17/20,33,0,0,3/26/20,18776707,7,31,0.58,23,0,0,-9
Kazakhstan,3/18/20,35,0,0,3/26/20,18776707,7,31,0.58,2,0,0,-8
Kazakhstan,3/31/20,343,24,3,3/26/20,18776707,7,31,0.58,41,0,3,5
Laos,4/11/20,18,0,0,,7275560,32,24,0.36,2,0,0,
Maldives,3/21/20,13,0,0,,540544,1802,30,0.35,0,0,0,
Mauritania,3/16/20,1,0,0,,4649658,5,20,0.57,0,0,0,
Mayotte,3/18/20,3,0,0,,272815,728,20,0.46,2,0,0,
Nicaragua,4/12/20,9,4,1,,6624554,55,26,0.57,1,0,4,
Sudan,3/18/20,2,0,1,,43849260,25,20,0.35,1,0,0,
Sudan,4/6/20,12,2,2,,43849260,25,20,0.35,0,0,0,
Tanzania,4/13/20,49,7,3,,59734218,67,18,0.37,17,0,2,
Bahamas,4/1/20,21,1,1,,393244,39,32,0.86,7,1,0,
Burkina Faso,3/25/20,146,10,4,3/24/20,20903273,76,18,0.31,32,0,3,1
Chad,3/22/20,1,0,0,,16425864,13,17,0.23,0,0,0,
Chad,3/23/20,1,0,0,,16425864,13,17,0.23,0,0,0,
Chad,4/6/20,9,0,0,,16425864,13,17,0.23,0,0,0,
Cuba,3/30/20,170,4,4,3/28/20,11326616,106,42,0.78,31,1,0,2
Cyprus,4/10/20,595,58,11,3/23/20,1207359,131,37,0.67,31,0,5,18
El Salvador,3/31/20,32,0,1,4/9/20,6486205,313,28,0.73,2,1,0,-9
Equatorial Guinea,3/17/20,1,0,0,,1402985,50,22,0.73,0,0,0,
Fiji,3/23/20,3,0,0,,896445,49,28,0.59,1,0,0,
Gambia,4/13/20,9,2,1,,2416668,239,18,0.59,0,0,0,
Guyana,4/14/20,47,8,6,,786552,4,27,0.27,2,0,0,
Malawi,4/13/20,16,0,2,,19129952,203,18,0.18,3,0,0,
Malawi,4/14/20,16,0,2,,19129952,203,18,0.18,0,0,0,
Mauritius,4/1/20,161,0,6,3/28/20,1271768,626,37,0.41,18,1,0,4
Moldova,4/9/20,1289,50,29,3/23/20,4033963,123,38,0.43,115,2,10,17
Seychelles,3/14/20,2,0,0,,98347,214,34,0.56,2,0,0,
Somalia,4/8/20,12,1,1,,15893222,25,17,0.47,4,1,0,
Suriname,3/30/20,8,0,0,,586632,4,29,0.65,0,0,0,
Syria,4/5/20,19,2,2,,17500658,95,26,0.6,3,0,0,
Timor-Leste,3/28/20,1,0,0,,1318445,89,21,0.33,0,0,0,
Trinidad and Tobago,3/24/20,57,1,0,4/4/20,1399488,273,36,0.52,6,0,0,-11
Barbados,3/30/20,33,0,0,,287375,668,40,0.31,0,0,0,
Bolivia,3/12/20,2,0,0,3/31/20,11673021,11,26,0.69,0,0,0,-19
Bulgaria,4/9/20,618,48,24,3/20/20,6948445,64,45,0.76,25,0,6,20
Central African Republic,3/16/20,1,0,0,,4829767,8,18,0.43,0,0,0,
Djibouti,3/29/20,18,0,0,4/8/20,988000,43,27,0.79,4,0,0,-10
Djibouti,4/2/20,40,0,0,4/8/20,988000,43,27,0.79,7,0,0,-6
French Guiana,3/7/20,5,0,0,,298682,4,25,0.87,5,0,0,
Gabon,4/14/20,57,1,1,,2225734,9,23,0.87,0,0,0,
Gibraltar,3/7/20,1,0,0,,33691,3369,,,0,0,0,
Haiti,3/26/20,8,0,0,,11402528,414,24,0.57,0,0,0,
Haiti,4/8/20,27,1,1,,11402528,414,24,0.57,2,0,0,
Holy See,4/4/20,7,0,0,,801,2003,,,0,0,0,
Honduras,3/26/20,52,0,1,3/29/20,9904607,89,24,0.57,16,1,0,-3
Kazakhstan,4/1/20,380,26,3,3/26/20,18776707,7,31,0.58,37,0,2,6
Maldives,4/8/20,19,13,0,,540544,1802,30,0.35,0,0,0,
Mauritania,4/3/20,6,2,1,,4649658,5,20,0.57,0,0,0,
Mauritania,4/7/20,6,2,1,,4649658,5,20,0.57,0,0,0,
Mauritania,4/10/20,7,2,1,,4649658,5,20,0.57,0,0,0,
Namibia,4/4/20,14,3,0,,2540905,3,22,0.55,0,0,0,
Paraguay,3/29/20,59,1,3,4/5/20,7132538,18,26,0.62,3,0,0,-7
Saint Barthelemy,3/9/20,3,0,0,,9877,470,,0,0,0,0,
Tanzania,3/22/20,12,0,0,,59734218,67,18,0.37,6,0,0,
Tanzania,3/28/20,14,1,0,,59734218,67,18,0.37,1,0,0,
Tanzania,4/1/20,20,1,1,,59734218,67,18,0.37,1,0,0,
Turkey,3/23/20,1529,0,37,3/19/20,84339067,110,32,0.76,293,7,0,4
Turkey,4/13/20,61049,3957,1296,3/19/20,84339067,110,32,0.76,4093,98,511,25
Western Sahara,4/14/20,6,0,0,,597339,2,28,0.87,0,0,0,
Angola,3/29/20,7,0,2,,32866272,26,17,0.67,2,2,0,
Angola,4/9/20,19,2,2,,32866272,26,17,0.67,0,0,0,
Burkina Faso,3/15/20,3,0,0,3/24/20,20903273,76,18,0.31,1,0,0,-9
Cuba,3/26/20,67,1,2,3/28/20,11326616,106,42,0.78,10,1,0,-2
Gambia,4/11/20,9,2,1,,2416668,239,18,0.59,5,0,0,
Madagascar,3/26/20,23,0,0,4/11/20,27691018,48,20,0.39,4,0,0,-16
Mali,3/30/20,25,0,2,4/12/20,20250833,17,16,0.44,7,1,0,-13
Mali,4/10/20,87,22,7,4/12/20,20250833,17,16,0.44,13,0,0,-2
Martinique,3/13/20,3,0,0,,375265,354,47,0.92,0,0,0,
Martinique,3/18/20,19,0,1,,375265,354,47,0.92,3,0,0,
Mauritius,4/14/20,324,51,9,3/28/20,1271768,626,37,0.41,0,0,9,17
Moldova,3/10/20,3,0,0,3/23/20,4033963,123,38,0.43,2,0,0,-13
Moldova,3/15/20,23,0,0,3/23/20,4033963,123,38,0.43,11,0,0,-8
Moldova,4/11/20,1560,75,30,3/23/20,4033963,123,38,0.43,122,1,19,19
Panama,3/23/20,313,1,3,3/19/20,4314767,58,30,0.68,0,0,0,4
Panama,3/24/20,345,1,6,3/19/20,4314767,58,30,0.68,32,3,0,5
Panama,4/8/20,2249,16,59,3/19/20,4314767,58,30,0.68,149,4,2,20
Seychelles,3/31/20,10,0,0,,98347,214,34,0.56,2,0,0,
Seychelles,4/5/20,10,0,0,,98347,214,34,0.56,0,0,0,
Somalia,4/7/20,8,1,0,,15893222,25,17,0.47,1,0,0,
Syria,4/2/20,16,0,2,,17500658,95,26,0.6,6,0,0,
Trinidad and Tobago,4/10/20,109,1,8,4/4/20,1399488,273,36,0.52,0,0,0,6
Uzbekistan,3/31/20,172,7,2,3/28/20,33469203,79,28,0.5,23,0,0,3
Zambia,3/30/20,35,0,0,,18383955,25,18,0.45,6,0,0,
Bangladesh,3/21/20,25,3,2,4/6/20,164689383,1265,28,0.39,5,1,0,-16
Belize,4/6/20,7,0,1,,397628,17,25,0.46,2,1,0,
Bolivia,3/27/20,61,0,0,3/31/20,11673021,11,26,0.69,18,0,0,-4
Bulgaria,3/29/20,346,14,8,3/20/20,6948445,64,45,0.76,15,1,3,9
Bulgaria,4/5/20,531,37,20,3/20/20,6948445,64,45,0.76,28,3,3,16
Central African Republic,3/19/20,1,0,0,,4829767,8,18,0.43,0,0,0,
French Guiana,3/18/20,11,0,0,,298682,4,25,0.87,0,0,0,
Gabon,3/27/20,7,0,1,,2225734,9,23,0.87,0,0,0,
Honduras,3/18/20,9,0,0,3/29/20,9904607,89,24,0.57,1,0,0,-11
Kazakhstan,3/16/20,10,0,0,3/26/20,18776707,7,31,0.58,1,0,0,-10
Kazakhstan,4/8/20,727,54,7,3/26/20,18776707,7,31,0.58,30,1,3,13
Kenya,3/19/20,7,0,0,4/2/20,53771296,94,20,0.28,4,0,0,-14
Laos,3/26/20,6,0,0,,7275560,32,24,0.36,3,0,0,
Mauritania,4/6/20,6,2,1,,4649658,5,20,0.57,0,0,0,
Mongolia,3/26/20,11,0,0,,3278290,2,28,0.67,1,0,0,
Niger,4/8/20,342,28,11,4/3/20,24206644,19,15,0.17,64,0,2,5
Papua New Guinea,3/30/20,1,0,0,,8947024,20,22,0.13,0,0,0,
Paraguay,3/23/20,22,0,1,4/5/20,7132538,18,26,0.62,0,0,0,-13
Paraguay,4/11/20,133,18,6,4/5/20,7132538,18,26,0.62,4,0,0,6
Sierra Leone,4/7/20,6,0,0,,7976983,111,19,0.43,0,0,0,
Tanzania,3/20/20,6,0,0,,59734218,67,18,0.37,0,0,0,
Tanzania,4/6/20,24,3,1,,59734218,67,18,0.37,2,0,0,
Tanzania,4/9/20,25,5,1,,59734218,67,18,0.37,0,0,0,
Uganda,4/4/20,48,0,0,,45741007,229,17,0.26,0,0,0,
Cuba,3/28/20,119,4,3,3/28/20,11326616,106,42,0.78,39,1,0,0
Cyprus,4/3/20,396,28,11,3/23/20,1207359,131,37,0.67,40,1,0,11
Eritrea,4/5/20,29,0,0,,3546421,35,19,0.63,0,0,0,
Gambia,3/29/20,4,0,1,,2416668,239,18,0.59,1,0,0,
Greenland,3/21/20,1,0,0,,56770,0,,0.87,0,0,0,
Guadeloupe,3/20/20,45,0,0,,400124,237,44,,12,0,0,
Guinea-Bissau,4/8/20,33,0,0,,1968001,70,19,0.45,0,0,0,
Jamaica,4/12/20,69,13,4,,2961167,273,31,0.55,4,0,0,
Kosovo,3/21/20,2,0,0,3/31/20,1831000,,,,0,0,0,-10
Kosovo,4/7/20,170,24,4,3/31/20,1831000,,,,25,3,1,7
Libya,3/28/20,3,0,0,,6871292,4,29,0.78,2,0,0,
Moldova,3/13/20,6,0,0,3/23/20,4033963,123,38,0.43,3,0,0,-10
Panama,3/11/20,8,0,1,3/19/20,4314767,58,30,0.68,7,1,0,-8
Panama,3/22/20,313,1,3,3/19/20,4314767,58,30,0.68,113,2,1,3
Seychelles,4/12/20,11,0,0,,98347,214,34,0.56,0,0,0,
Trinidad and Tobago,4/4/20,103,1,6,4/4/20,1399488,273,36,0.52,5,0,0,0
Uruguay,3/24/20,162,0,0,3/21/20,3473730,20,36,0.96,4,0,0,3
Uruguay,3/28/20,274,0,0,3/21/20,3473730,20,36,0.96,36,0,0,7
Uzbekistan,3/19/20,23,0,0,3/28/20,33469203,79,28,0.5,8,0,0,-9
Uzbekistan,3/29/20,144,7,2,3/28/20,33469203,79,28,0.5,40,0,2,1
Uzbekistan,4/9/20,582,38,3,3/28/20,33469203,79,28,0.5,37,0,8,12
Zambia,4/2/20,39,0,1,,18383955,25,18,0.45,3,1,0,
Bolivia,3/11/20,2,0,0,3/31/20,11673021,11,26,0.69,2,0,0,-20
Bulgaria,3/19/20,94,0,3,3/20/20,6948445,64,45,0.76,2,1,0,-1
Bulgaria,3/31/20,399,17,8,3/20/20,6948445,64,45,0.76,40,0,0,11
Central African Republic,4/13/20,11,3,0,,4829767,8,18,0.43,3,0,3,
Dominica,3/25/20,7,0,0,,71986,96,,0.74,5,0,0,
Ethiopia,3/31/20,26,4,0,,114963588,115,19,0.21,3,0,0,
Ethiopia,4/12/20,71,10,3,,114963588,115,19,0.21,2,0,0,
Ethiopia,4/13/20,74,14,3,,114963588,115,19,0.21,3,0,4,
Ethiopia,4/14/20,82,14,3,,114963588,115,19,0.21,8,0,0,
French Guiana,3/21/20,18,6,0,,298682,4,25,0.87,3,0,6,
Gabon,3/15/20,1,0,0,,2225734,9,23,0.87,0,0,0,
Ghana,4/3/20,205,31,5,3/26/20,31072940,137,22,0.57,1,0,0,8
Honduras,4/11/20,392,7,24,3/29/20,9904607,89,24,0.57,10,1,0,13
Kenya,3/22/20,15,0,0,4/2/20,53771296,94,20,0.28,8,0,0,-11
Laos,4/6/20,12,0,0,,7275560,32,24,0.36,1,0,0,
Maldives,3/8/20,4,0,0,,540544,1802,30,0.35,4,0,0,
Malta,4/7/20,293,5,0,3/23/20,441543,1380,43,0.93,52,0,0,15
Mongolia,3/15/20,1,0,0,,3278290,2,28,0.67,0,0,0,
Montenegro,3/30/20,91,0,1,3/31/20,628066,47,39,0.68,6,0,0,-1
Montenegro,4/14/20,283,46,4,3/31/20,628066,47,39,0.68,9,1,41,14
Mozambique,3/29/20,8,0,0,,31255435,40,18,0.38,0,0,0,
Nicaragua,3/27/20,2,0,1,,6624554,55,26,0.57,0,1,0,
Niger,4/13/20,529,75,12,4/3/20,24206644,19,15,0.17,0,0,0,10
Papua New Guinea,3/28/20,1,0,0,,8947024,20,22,0.13,0,0,0,
Paraguay,4/14/20,159,22,7,4/5/20,7132538,18,26,0.62,12,1,0,9
Saint Lucia,3/22/20,2,0,0,,183627,301,34,0.19,0,0,0,
Saint Lucia,4/10/20,15,1,0,,183627,301,34,0.19,1,0,0,
Sierra Leone,4/9/20,7,0,0,,7976983,111,19,0.43,0,0,0,
Sudan,3/22/20,2,0,1,,43849260,25,20,0.35,0,0,0,
Tanzania,3/26/20,13,0,0,,59734218,67,18,0.37,1,0,0,
Zimbabwe,3/31/20,8,0,1,,14862924,38,19,0.38,1,0,0,
Angola,4/8/20,19,2,2,,32866272,26,17,0.67,2,0,0,
Antigua and Barbuda,3/21/20,1,0,0,,97929,223,34,0.26,0,0,0,
Antigua and Barbuda,4/9/20,19,0,2,,97929,223,34,0.26,0,0,0,
Benin,3/18/20,2,0,0,,12123200,108,19,0.48,1,0,0,
Burkina Faso,4/11/20,484,155,27,3/24/20,20903273,76,18,0.31,41,3,9,18
Chad,3/27/20,3,0,0,,16425864,13,17,0.23,0,0,0,
Chad,4/8/20,10,2,0,,16425864,13,17,0.23,0,0,0,
Chad,4/12/20,18,2,0,,16425864,13,17,0.23,7,0,0,
Cyprus,3/15/20,26,0,0,3/23/20,1207359,131,37,0.67,0,0,0,-8
Cyprus,4/11/20,616,61,11,3/23/20,1207359,131,37,0.67,21,0,3,19
Gambia,4/12/20,9,2,1,,2416668,239,18,0.59,0,0,0,
Greenland,3/20/20,1,0,0,,56770,0,,0.87,0,0,0,
Guatemala,3/29/20,34,10,1,4/10/20,17915568,167,23,0.52,0,0,0,-12
Guinea-Bissau,3/30/20,8,0,0,,1968001,70,19,0.45,6,0,0,
Guyana,3/22/20,18,0,1,,786552,4,27,0.27,11,0,0,
Kyrgyzstan,3/27/20,58,0,0,3/31/20,6524195,34,26,0.36,14,0,0,-4
Kyrgyzstan,4/9/20,280,35,4,3/31/20,6524195,34,26,0.36,10,0,2,9
Panama,3/17/20,69,0,1,3/19/20,4314767,58,30,0.68,14,0,0,-2
Panama,3/19/20,109,0,1,3/19/20,4314767,58,30,0.68,23,0,0,0
Panama,4/12/20,3234,23,79,3/19/20,4314767,58,30,0.68,260,5,6,24
Puerto Rico,3/18/20,3,0,0,,2860853,323,44,,0,0,0,
Puerto Rico,3/21/20,3,0,0,,2860853,323,44,,0,0,0,
Somalia,3/23/20,1,0,0,,15893222,25,17,0.47,0,0,0,
Timor-Leste,4/14/20,6,1,0,,1318445,89,21,0.33,2,0,0,
Uzbekistan,4/2/20,205,25,2,3/28/20,33469203,79,28,0.5,24,0,13,5
Yemen,4/11/20,1,0,0,,29825964,56,20,0.38,0,0,0,
Zambia,3/21/20,2,0,0,,18383955,25,18,0.45,0,0,0,
Bangladesh,4/6/20,123,33,12,4/6/20,164689383,1265,28,0.39,35,3,0,0
Barbados,4/10/20,67,11,4,,287375,668,40,0.31,1,1,0,
Belize,3/28/20,2,0,0,,397628,17,25,0.46,0,0,0,
Belize,3/31/20,3,0,0,,397628,17,25,0.46,0,0,0,
Cayman Islands,3/14/20,1,0,0,,65722,274,,0.97,0,0,0,
Central African Republic,3/22/20,3,0,0,,4829767,8,18,0.43,0,0,0,
Djibouti,4/10/20,150,36,1,4/8/20,988000,43,27,0.79,15,1,11,2
Dominica,3/30/20,11,0,0,,71986,96,,0.74,0,0,0,
French Guiana,3/19/20,11,0,0,,298682,4,25,0.87,0,0,0,
Ghana,3/15/20,6,0,0,3/26/20,31072940,137,22,0.57,3,0,0,-11
Haiti,4/3/20,18,1,0,,11402528,414,24,0.57,2,0,0,
Holy See,3/19/20,1,0,0,,801,2003,,,0,0,0,
Holy See,4/9/20,8,2,0,,801,2003,,,0,0,0,
Maldives,3/30/20,17,13,0,,540544,1802,30,0.35,0,0,0,
Malta,3/9/20,3,0,0,3/23/20,441543,1380,43,0.93,0,0,0,-14
Mongolia,3/11/20,1,0,0,,3278290,2,28,0.67,0,0,0,
Niger,3/26/20,10,0,1,4/3/20,24206644,19,15,0.17,3,0,0,-8
Paraguay,3/24/20,27,0,2,4/5/20,7132538,18,26,0.62,5,1,0,-12
Paraguay,3/25/20,37,0,3,4/5/20,7132538,18,26,0.62,10,1,0,-11
Sudan,3/21/20,2,0,1,,43849260,25,20,0.35,0,0,0,
Sudan,4/4/20,10,2,2,,43849260,25,20,0.35,0,0,0,
Turkey,3/31/20,13531,243,214,3/19/20,84339067,110,32,0.76,2704,46,81,12
Turkey,4/9/20,42282,2142,908,3/19/20,84339067,110,32,0.76,4056,96,296,21
